title,keywords,abstract,domain,reviewer,reviewer_profession,Impact_Factor
تحليل التعليم عن بعد من منظور حديث,التعليم عن بعد وتأثيره على الطلاب، مجتمع، تربية، تعليم، نفسي,تسعى هذه الدراسة إلى التعليم عن بعد وتأثيره على الطلاب من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,إجتماعية,أنيس سعيد الحاج,الباحث,1.922
تحليل أبعاد الخدمات الاجتماعية للمسنين,الخدمات الاجتماعية للمسنين، مجتمع، تربية، تعليم، نفسي,تتناول هذه الورقة البحثية موضوع الخدمات الاجتماعية للمسنين كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,إجتماعية,. إيمان إبراهيم العمريطي,أستاذ أصول التربية المشارك,1.922
التعليم والمساواة الاجتماعية: بين النظرية والتطبيق,التعليم والمساواة الاجتماعية، مجتمع، تربية، تعليم، نفسي,في ظل التطورات الحديثة، أصبح التعليم والمساواة الاجتماعية من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,إجتماعية,عبد العزيزمحمد عمر البلوشي,باحث بالدكتوراه,1.922
دور الأسرة في التنشئة الاجتماعية: دراسة تحليلية,دور الأسرة في التنشئة الاجتماعية، مجتمع، تربية، تعليم، نفسي,يعتبر دور الأسرة في التنشئة الاجتماعية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,إجتماعية,سارة عبدالله مختار عبدالهادي,جامعة السودان للعلوم والتكنولوجيا,1.922
تأثير التكيف الاجتماعي للمهاجرين على المجتمع,التكيف الاجتماعي للمهاجرين، مجتمع، تربية، تعليم، نفسي,تشكل التكيف الاجتماعي للمهاجرين من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,إجتماعية,عبد الرحيم ال راجي,"لماستر المتخ ّصص: ""االجتهاد في قضايا االسرة وتجديد الخطاب""",1.922
التنمية الريفية والمجتمعات المحلية: بين النظرية والتطبيق,التنمية الريفية والمجتمعات المحلية، مجتمع، تربية، تعليم، نفسي,تسعى هذه الدراسة إلى التنمية الريفية والمجتمعات المحلية من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,إجتماعية,ريم فهد عبدالباقي,- قسم علم الاجتماع والخدمة الاجتماعية، كلية الاداب والعلوم,1.922
الضغوط النفسية في كمدخل للتنمية,الضغوط النفسية في بيئة العمل، مجتمع، تربية، تعليم، نفسي,تتناول هذه الورقة البحثية موضوع الضغوط النفسية في بيئة العمل كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,إجتماعية,وائل عبد الرحمن عبد العزيز القاسم,باحث دكتوراه في الفلسفة,1.922
تحليل أبعاد الصحة النفسية للمراهقين,الصحة النفسية للمراهقين، مجتمع، تربية، تعليم، نفسي,في ظل التطورات الحديثة، أصبح الصحة النفسية للمراهقين من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,إجتماعية,خالد محمد محمد العنتلي,,1.922
دور الشباب في التغيير الاجتماعي: دراسة تحليلية,دور الشباب في التغيير الاجتماعي، مجتمع، تربية، تعليم، نفسي,يعتبر دور الشباب في التغيير الاجتماعي من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,إجتماعية,سارة عبدالله مختار عبدالهادي,جامعة السودان للعلوم والتكنولوجيا,1.922
تحليل التعليم عن بعد من منظور حديث,التعليم عن بعد وتأثيره على الطلاب، مجتمع، تربية، تعليم، نفسي,تشكل التعليم عن بعد وتأثيره على الطلاب من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,إجتماعية,عبد العزيزمحمد عمر البلوشي,باحث بالدكتوراه,1.922
تأثير دور التكنولوجيا في على المجتمع,دور التكنولوجيا في التعليم، مجتمع، تربية، تعليم، نفسي,تسعى هذه الدراسة إلى دور التكنولوجيا في التعليم من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,إجتماعية,ليندا سليمان البدر,"تخصص تكنولوجيا المعلومات والاتصالات في التعليم
قسم التربية الخاصة وتكنولوجيا التعليم",1.922
دور التعليم والتنمية المستدامة في التنمية المعاصرة,التعليم والتنمية المستدامة، مجتمع، تربية، تعليم، نفسي,تتناول هذه الورقة البحثية موضوع التعليم والتنمية المستدامة كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,إجتماعية,فاطمة عبدهللا علي عمران الكواري,باحثة دكتوراه بسلك العلوم السياسية والقانونية,1.922
الصحة النفسية في: مقاربة جديدة,الصحة النفسية في أماكن العمل، مجتمع، تربية، تعليم، نفسي,في ظل التطورات الحديثة، أصبح الصحة النفسية في أماكن العمل من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,إجتماعية,فالح عواد الحربي,مديرية الشئون الصحية بحفر الباطن وزارة الصحة,1.922
الصحة النفسية للمراهقين: دراسة ميدانية,الصحة النفسية للمراهقين، مجتمع، تربية، تعليم، نفسي,يعتبر الصحة النفسية للمراهقين من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,إجتماعية,فالح محمد فياض العديم,,1.922
تحليل أبعاد الضغوط النفسية في,الضغوط النفسية في بيئة العمل، مجتمع، تربية، تعليم، نفسي,تشكل الضغوط النفسية في بيئة العمل من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,إجتماعية,أنجي عبد الحميد حريري,قسم علم االجتماع والخدمة االجتماعية - كلية اآلداب والعلوم اإلنسانية,1.922
دور وسائل التواصل الاجتماعي في التنمية المعاصرة,وسائل التواصل الاجتماعي والهوية الثقافية، مجتمع، تربية، تعليم، نفسي,تسعى هذه الدراسة إلى وسائل التواصل الاجتماعي والهوية الثقافية من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,إجتماعية,خالد محمد محمد العنتلي,,1.922
الخدمة الاجتماعية في: مقاربة جديدة,الخدمة الاجتماعية في المؤسسات الصحية، مجتمع، تربية، تعليم، نفسي,تتناول هذه الورقة البحثية موضوع الخدمة الاجتماعية في المؤسسات الصحية كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,إجتماعية,ندا جمال بكر حريري,مجال اإلصالح األسري – قسم علم اجتماع وخدمة مجتمع,1.922
دور دور التكنولوجيا في في التنمية المعاصرة,دور التكنولوجيا في التعليم، مجتمع، تربية، تعليم، نفسي,في ظل التطورات الحديثة، أصبح دور التكنولوجيا في التعليم من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,إجتماعية,ليندا سليمان البدر,"تخصص تكنولوجيا المعلومات والاتصالات في التعليم
قسم التربية الخاصة وتكنولوجيا التعليم",1.922
التعليم والمساواة الاجتماعية: مقاربة جديدة,التعليم والمساواة الاجتماعية، مجتمع، تربية، تعليم، نفسي,يعتبر التعليم والمساواة الاجتماعية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,إجتماعية,حبيب عبد هللا الصبحي,مرشح لدرجة الدكتوراه بقسم العلوم السياسية،,1.922
الواقع والطموح في مجال التنمر الإلكتروني وأثره,التنمر الإلكتروني وأثره على المراهقين، مجتمع، تربية، تعليم، نفسي,تشكل التنمر الإلكتروني وأثره على المراهقين من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,إجتماعية,صالح بن سعود سليمان السعود,أستاذ التفسير وعلوم القرآن,1.922
الخدمات الاجتماعية للمسنين: رؤية مستقبلية,الخدمات الاجتماعية للمسنين، مجتمع، تربية، تعليم، نفسي,تسعى هذه الدراسة إلى الخدمات الاجتماعية للمسنين من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,إجتماعية,أنجي عبد الحميد حريري,قسم علم االجتماع والخدمة االجتماعية - كلية اآلداب والعلوم اإلنسانية,1.922
التكيف الاجتماعي للمهاجرين: دراسة ميدانية,التكيف الاجتماعي للمهاجرين، مجتمع، تربية، تعليم، نفسي,تتناول هذه الورقة البحثية موضوع التكيف الاجتماعي للمهاجرين كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,إجتماعية,فالح محمد فياض العديم,,1.922
تحليل أبعاد الصحة النفسية في,الصحة النفسية في أماكن العمل، مجتمع، تربية، تعليم، نفسي,في ظل التطورات الحديثة، أصبح الصحة النفسية في أماكن العمل من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,إجتماعية,رهف عبد العزيز محمد العويّد,قسم علوم األغذية وتغذية اإلنسان،,1.922
تأثير الصحة النفسية للمراهقين على المجتمع,الصحة النفسية للمراهقين، مجتمع، تربية، تعليم، نفسي,يعتبر الصحة النفسية للمراهقين من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,إجتماعية,عاصم شحادة علي,قسم اللغة العربية وآدابها,1.922
الواقع والطموح في مجال دور التكنولوجيا في,دور التكنولوجيا في التعليم، مجتمع، تربية، تعليم، نفسي,تشكل دور التكنولوجيا في التعليم من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,إجتماعية,فالح محمد فياض العديم,,1.922
دراسة حول دور المؤسسات التعليمية,دور المؤسسات التعليمية في التنمية، مجتمع، تربية، تعليم، نفسي,تسعى هذه الدراسة إلى دور المؤسسات التعليمية في التنمية من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,إجتماعية,وائل عبد الرحمن عبد العزيز القاسم,باحث دكتوراه في الفلسفة,1.922
دراسة حول التنمية الريفية والمجتمعات,التنمية الريفية والمجتمعات المحلية، مجتمع، تربية، تعليم، نفسي,تتناول هذه الورقة البحثية موضوع التنمية الريفية والمجتمعات المحلية كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,إجتماعية,ليندا سليمان البدر,"تخصص تكنولوجيا المعلومات والاتصالات في التعليم
قسم التربية الخاصة وتكنولوجيا التعليم",1.922
تحليل أبعاد التعليم والمساواة الاجتماعية,التعليم والمساواة الاجتماعية، مجتمع، تربية، تعليم، نفسي,في ظل التطورات الحديثة، أصبح التعليم والمساواة الاجتماعية من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,إجتماعية,عاصم شحادة علي,قسم اللغة العربية وآدابها,1.922
دراسة حول دور الأسرة في,دور الأسرة في التنشئة الاجتماعية، مجتمع، تربية، تعليم، نفسي,يعتبر دور الأسرة في التنشئة الاجتماعية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,إجتماعية,سارة عبدالله مختار عبدالهادي,جامعة السودان للعلوم والتكنولوجيا,1.922
تقييم دور الشباب في في السياق المحلي,دور الشباب في التغيير الاجتماعي، مجتمع، تربية، تعليم، نفسي,تشكل دور الشباب في التغيير الاجتماعي من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,إجتماعية,علي عبدالعزيز السيافي,الإدارة العامة للتعليم بالأحساء,1.922
تحليل أبعاد العلاقات الدولية والثقافات,العلاقات الدولية والثقافات، مجتمع، تربية، تعليم، نفسي,تسعى هذه الدراسة إلى العلاقات الدولية والثقافات من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,إجتماعية,ريم فهد عبدالباقي,- قسم علم الاجتماع والخدمة الاجتماعية، كلية الاداب والعلوم,1.922
الواقع والطموح في مجال دور المؤسسات التعليمية,دور المؤسسات التعليمية في التنمية، مجتمع، تربية، تعليم، نفسي,تتناول هذه الورقة البحثية موضوع دور المؤسسات التعليمية في التنمية كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,إجتماعية,عبد العزيزمحمد عمر البلوشي,باحث بالدكتوراه,1.922
دراسة حول التنمر الإلكتروني وأثره,التنمر الإلكتروني وأثره على المراهقين، مجتمع، تربية، تعليم، نفسي,في ظل التطورات الحديثة، أصبح التنمر الإلكتروني وأثره على المراهقين من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,إجتماعية,. إيمان إبراهيم العمريطي,أستاذ أصول التربية المشارك,1.922
الصحة النفسية في أماكن العمل: رؤية مستقبلية,الصحة النفسية في أماكن العمل، مجتمع، تربية، تعليم، نفسي,يعتبر الصحة النفسية في أماكن العمل من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,إجتماعية,ليندا سليمان البدر,"تخصص تكنولوجيا المعلومات والاتصالات في التعليم
قسم التربية الخاصة وتكنولوجيا التعليم",1.922
دور التكيف الاجتماعي للمهاجرين في التنمية المعاصرة,التكيف الاجتماعي للمهاجرين، مجتمع، تربية، تعليم، نفسي,تشكل التكيف الاجتماعي للمهاجرين من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,إجتماعية,حبيب عبد هللا الصبحي,مرشح لدرجة الدكتوراه بقسم العلوم السياسية،,1.922
دراسة تطبيقية حول التعليم والمساواة الاجتماعية,التعليم والمساواة الاجتماعية، مجتمع، تربية، تعليم، نفسي,تسعى هذه الدراسة إلى التعليم والمساواة الاجتماعية من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,إجتماعية,ليندا سليمان البدر,"تخصص تكنولوجيا المعلومات والاتصالات في التعليم
قسم التربية الخاصة وتكنولوجيا التعليم",1.922
الضغوط النفسية في بيئة العمل وتحديات العصر الحديث,الضغوط النفسية في بيئة العمل، مجتمع، تربية، تعليم، نفسي,تتناول هذه الورقة البحثية موضوع الضغوط النفسية في بيئة العمل كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,إجتماعية,فاطمة عبدهللا علي عمران الكواري,باحثة دكتوراه بسلك العلوم السياسية والقانونية,1.922
دور المؤسسات التعليمية كمدخل للتنمية,دور المؤسسات التعليمية في التنمية، مجتمع، تربية، تعليم، نفسي,في ظل التطورات الحديثة، أصبح دور المؤسسات التعليمية في التنمية من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,إجتماعية,رهف عبد العزيز محمد العويّد,قسم علوم األغذية وتغذية اإلنسان،,1.922
استكشاف الخدمة الاجتماعية في في البيئة المحلية,الخدمة الاجتماعية في المؤسسات الصحية، مجتمع، تربية، تعليم، نفسي,يعتبر الخدمة الاجتماعية في المؤسسات الصحية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,إجتماعية,فاطمة عبدهللا علي عمران الكواري,باحثة دكتوراه بسلك العلوم السياسية والقانونية,1.922
الواقع والطموح في مجال الصحة النفسية في,الصحة النفسية في أماكن العمل، مجتمع، تربية، تعليم، نفسي,تشكل الصحة النفسية في أماكن العمل من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,إجتماعية,خالد محمد محمد العنتلي,,1.922
دور المرأة في التنمية المجتمعية: دراسة تحليلية,دور المرأة في التنمية المجتمعية، مجتمع، تربية، تعليم، نفسي,تسعى هذه الدراسة إلى دور المرأة في التنمية المجتمعية من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,إجتماعية,أنجي عبد الحميد حريري,قسم علم االجتماع والخدمة االجتماعية - كلية اآلداب والعلوم اإلنسانية,1.922
الخدمات الاجتماعية للمسنين وتحديات العصر الحديث,الخدمات الاجتماعية للمسنين، مجتمع، تربية، تعليم، نفسي,تتناول هذه الورقة البحثية موضوع الخدمات الاجتماعية للمسنين كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,إجتماعية,وائل عبد الرحمن عبد العزيز القاسم,باحث دكتوراه في الفلسفة,1.922
تقييم دور الإعلام في في السياق المحلي,دور الإعلام في تشكيل الرأي العام، مجتمع، تربية، تعليم، نفسي,في ظل التطورات الحديثة، أصبح دور الإعلام في تشكيل الرأي العام من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,إجتماعية,حبيب عبد هللا الصبحي,مرشح لدرجة الدكتوراه بقسم العلوم السياسية،,1.922
تحليل التنمر الإلكتروني وأثره من منظور حديث,التنمر الإلكتروني وأثره على المراهقين، مجتمع، تربية، تعليم، نفسي,يعتبر التنمر الإلكتروني وأثره على المراهقين من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,إجتماعية,علي عبدالعزيز السيافي,الإدارة العامة للتعليم بالأحساء,1.922
دور المؤسسات التعليمية في التنمية: بين النظرية والتطبيق,دور المؤسسات التعليمية في التنمية، مجتمع، تربية، تعليم، نفسي,تشكل دور المؤسسات التعليمية في التنمية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,إجتماعية,علي عبدالعزيز السيافي,الإدارة العامة للتعليم بالأحساء,1.922
